id,country,join_dt,device,group,spent,user_convertion
1006439,USA,1/25/2023,,A,0,0
1004261,USA,1/26/2023,,A,0,0
1009297,MEX,2/1/2023,,A,0,0
1011046,MEX,1/26/2023,,B,0,0
1004363,BRA,1/25/2023,,B,0,0
1003916,MEX,1/27/2023,,A,0,0
1006186,DEU,2/1/2023,,A,0,0
1000873,TUR,2/2/2023,,B,0,0
1011189,USA,1/26/2023,,A,0,0
1001194,MEX,1/30/2023,,B,0,0
1001683,GBR,1/26/2023,,A,0,0
1006351,TUR,1/25/2023,,A,0,0
1010383,BRA,1/27/2023,,B,0,0
1011518,ESP,1/25/2023,,B,0,0
1002968,USA,1/26/2023,,A,0,0
1010993,USA,1/29/2023,,B,0,0
1008086,USA,1/31/2023,,B,0,0
1003649,BRA,2/5/2023,,A,0,0
1003642,CAN,1/26/2023,,B,0,0
1008386,USA,1/25/2023,,B,0,0
1006671,,1/26/2023,A,A,45.1,1
1002310,FRA,1/25/2023,,B,0,0
1006629,GBR,1/28/2023,,A,0,0
1010108,CAN,1/26/2023,,B,0,0
1004529,BRA,2/3/2023,,B,0,0
1008906,USA,2/1/2023,,A,0,0
1009769,DEU,1/31/2023,,B,0,0
1004239,USA,1/25/2023,I,B,22.73,1
1002402,TUR,2/1/2023,,B,0,0
1010890,MEX,1/26/2023,,B,0,0
1011403,BRA,2/3/2023,,B,0,0
1007784,BRA,2/2/2023,,A,0,0
1000306,FRA,1/25/2023,,A,0,0
1008376,USA,2/5/2023,,B,0,0
1004070,USA,2/4/2023,,A,0,0
1011033,BRA,2/4/2023,,A,0,0
1009684,USA,1/29/2023,,B,0,0
1006446,USA,1/25/2023,,B,0,0
1007284,USA,1/26/2023,,B,0,0
1007452,TUR,1/27/2023,,B,0,0
1004695,USA,1/28/2023,,A,0,0
1003064,GBR,1/28/2023,,A,0,0
1000866,TUR,1/28/2023,,B,0,0
1008592,BRA,1/27/2023,,B,0,0
1000438,MEX,1/25/2023,,A,0,0
1009667,BRA,1/28/2023,,A,0,0
1008618,USA,2/1/2023,,B,0,0
1008580,BRA,2/1/2023,,A,0,0
1004133,TUR,1/26/2023,A,B,190.37,1
1004885,MEX,1/25/2023,,A,0,0
1008751,MEX,1/25/2023,,B,0,0
1011337,USA,1/26/2023,,A,0,0
1007020,BRA,1/31/2023,,B,0,0
1008250,AUS,1/28/2023,,A,0,0
1008533,USA,1/26/2023,,A,0,0
1008073,MEX,1/26/2023,I,B,34.25,1
1001054,ESP,1/26/2023,,B,0,0
1009578,CAN,1/25/2023,,A,0,0
1011374,DEU,1/26/2023,,A,0,0
1008922,BRA,2/2/2023,,B,0,0
1005819,GBR,1/28/2023,,A,0,0
1001196,AUS,2/6/2023,,B,0,0
1008789,BRA,1/26/2023,,A,0,0
1001470,FRA,1/29/2023,,A,0,0
1005243,FRA,1/30/2023,,A,0,0
1006910,BRA,1/25/2023,,A,0,0
1003791,BRA,1/25/2023,,B,0,0
1009617,USA,1/29/2023,,B,0,0
1008950,USA,1/28/2023,,A,0,0
1004566,USA,1/30/2023,,A,0,0
1007851,MEX,1/26/2023,,A,0,0
1009488,USA,1/26/2023,,B,0,0
1005614,MEX,1/31/2023,,A,0,0
1001709,USA,1/25/2023,,B,0,0
1001813,DEU,1/26/2023,,A,0,0
1011251,BRA,2/1/2023,,B,0,0
1000103,BRA,2/2/2023,,A,0,0
1011322,DEU,1/29/2023,,B,0,0
1010045,USA,1/26/2023,,B,0,0
1005206,DEU,1/27/2023,,B,0,0
1003776,USA,2/6/2023,,A,0,0
1002268,DEU,1/26/2023,,B,0,0
1005901,TUR,2/1/2023,,A,0,0
1001639,BRA,1/25/2023,,B,0,0
1008813,GBR,1/25/2023,,A,0,0
1002660,USA,1/27/2023,,A,0,0
1011133,ESP,1/29/2023,,B,0,0
1008200,FRA,1/25/2023,,A,0,0
1003225,BRA,1/28/2023,,A,0,0
1009753,BRA,1/25/2023,,B,0,0
1005917,BRA,1/30/2023,,B,0,0
1004943,BRA,1/26/2023,,B,0,0
1003288,TUR,1/25/2023,,B,0,0
1007751,BRA,1/25/2023,,B,0,0
1001931,FRA,2/1/2023,,A,0,0
1003297,TUR,1/25/2023,,B,0,0
